Week,Sample,Hawea:Start Storage [GWh],Hawea:End Storage [GWh],Hawea:Water Values [$/MWh],Hawea:Res Spill [GWh],Hawea:Res Inflow [GWh],Hawea:Res Release [GWh],Tekapo:Start Storage [GWh],Tekapo:End Storage [GWh],Tekapo:Water Values [$/MWh],Tekapo:Res Spill [GWh],Tekapo:Res Inflow [GWh],Tekapo:Res Release [GWh],Pukaki:Start Storage [GWh],Pukaki:End Storage [GWh],Pukaki:Water Values [$/MWh],Pukaki:Res Spill [GWh],Pukaki:Res Inflow [GWh],Pukaki:Res Release [GWh],Taupo:Start Storage [GWh],Taupo:End Storage [GWh],Taupo:Water Values [$/MWh],Taupo:Res Spill [GWh],Taupo:Res Inflow [GWh],Taupo:Res Release [GWh],WEEKStartDate,Total_Other_Storage,Season,Seasonal_Max_Other_Storage,Total_Other_Storage_Perc,Other_Storage_Level
1,1,145.736,149.511,226.908,0.0,4.623,0.848,479.304,420.782,126.469,0.0,23.778,82.3,1069.452,1040.023,212.994,0.0,68.324,97.752,53.647,29.678,205.182,0.0,49.985,73.954,2020-06-29,1219.21,Unknown,2610.26,0.47,Medium
2,1,149.511,137.24,238.129,0.0,4.536,16.807,420.782,361.891,146.176,0.0,23.291,82.182,1040.023,950.012,228.268,0.0,63.106,153.118,29.678,105.401,304.29,0.0,85.781,10.057,2020-07-06,1192.65,Unknown,2610.26,0.46,Medium
3,1,137.24,119.024,240.204,0.0,3.3,21.516,361.891,291.873,158.234,0.0,12.022,82.039,950.012,869.79,231.163,0.0,62.995,143.216,105.401,68.803,215.608,0.0,42.258,78.857,2020-07-13,1057.62,Unknown,2610.26,0.41,Medium
4,1,119.024,106.883,247.416,0.0,2.471,14.612,291.873,226.76,177.848,0.0,16.734,81.848,869.79,790.289,235.648,0.0,64.192,143.693,68.803,43.392,220.631,0.0,58.138,83.548,2020-07-20,940.56,Unknown,2610.26,0.36,Low
5,1,106.883,95.626,253.338,0.0,2.876,14.133,226.76,159.248,202.232,0.0,14.079,81.591,790.289,694.48,241.278,0.0,57.174,152.984,43.392,1.272,226.911,0.0,41.175,83.295,2020-07-27,791.38,Unknown,2610.26,0.3,Low
6,1,95.626,69.987,262.342,0.0,1.93,27.57,159.248,90.007,227.478,0.0,12.056,81.297,694.48,574.385,250.108,0.0,56.122,176.218,1.272,0.0,323.24,0.0,33.06,34.331,2020-08-03,644.37,Unknown,2610.26,0.25,Low
7,1,69.987,54.0,281.468,0.0,4.997,20.983,90.007,80.53,283.293,0.0,40.609,50.085,574.385,446.814,260.67,0.0,48.484,176.055,0.0,29.329,340.727,0.0,47.128,17.799,2020-08-10,530.14,Unknown,2610.26,0.2,Low
8,1,54.0,57.08,294.313,0.0,3.927,0.848,80.53,79.631,289.46,0.0,21.625,22.524,446.814,303.176,272.369,0.0,22.884,166.522,29.329,34.071,261.738,0.0,60.066,55.323,2020-08-17,394.33,Unknown,2610.26,0.15,Very Low
9,1,57.08,61.713,287.736,0.0,5.481,0.848,79.631,76.482,279.43,0.0,19.376,22.524,303.176,206.413,287.348,0.0,31.439,128.202,34.071,38.618,268.815,0.0,71.096,66.549,2020-08-24,306.74,Unknown,2610.26,0.12,Very Low
10,1,61.713,70.904,288.073,0.0,10.039,0.848,76.482,125.131,282.269,0.0,73.425,24.777,206.413,194.843,301.687,0.0,41.717,53.287,38.618,11.016,249.71,0.0,57.269,84.871,2020-08-31,276.76,Unknown,2610.26,0.11,Very Low
11,1,70.904,51.487,251.836,0.0,6.988,26.405,125.131,63.661,193.451,0.0,17.955,79.424,194.843,201.631,284.356,0.0,66.447,59.659,11.016,0.0,231.769,0.0,44.205,55.221,2020-09-07,253.12,Unknown,2610.26,0.1,Very Low
12,1,51.487,57.114,323.26,0.0,6.474,0.848,63.661,35.944,300.74,0.0,39.684,67.401,201.631,220.762,316.436,0.0,60.667,41.535,0.0,38.803,322.565,0.0,62.231,23.429,2020-09-14,316.68,Unknown,2610.26,0.12,Very Low
13,1,57.114,58.305,321.807,0.0,3.903,2.712,35.944,39.833,368.248,0.0,27.526,23.637,220.762,180.13,313.923,0.0,31.281,71.913,38.803,92.914,321.204,0.0,82.404,28.293,2020-09-21,331.35,Unknown,2610.26,0.13,Very Low
14,1,58.305,63.182,317.206,0.0,5.724,0.848,39.833,33.634,337.882,0.0,17.438,23.637,180.13,154.159,318.317,0.0,30.831,56.802,92.914,111.857,286.991,0.0,62.323,43.379,2020-09-28,329.2,Unknown,2610.26,0.13,Very Low
15,1,63.182,81.854,298.841,0.0,19.52,0.848,33.634,69.831,329.772,0.0,59.347,23.15,154.159,226.0,320.154,0.0,72.364,0.524,111.857,101.999,280.728,0.0,72.916,82.774,2020-10-05,409.85,Unknown,2610.26,0.16,Very Low
16,1,81.854,92.302,263.868,0.0,11.295,0.848,69.831,52.673,225.658,0.0,61.211,78.37,226.0,323.262,287.386,0.0,97.276,0.014,101.999,104.347,218.623,0.0,100.072,97.724,2020-10-12,519.91,Unknown,2610.26,0.2,Low
17,1,92.302,101.012,251.072,0.0,9.558,0.848,52.673,42.968,231.202,0.0,68.757,78.461,323.262,401.071,270.6,0.0,84.374,6.565,104.347,105.073,220.915,0.0,102.179,101.453,2020-10-19,607.16,Unknown,2610.26,0.23,Low
18,1,101.012,90.123,255.05,0.0,6.713,17.602,42.968,10.066,244.254,0.0,45.624,78.527,401.071,471.139,266.106,0.0,84.487,14.419,105.073,75.782,234.885,0.0,72.065,101.355,2020-10-26,637.04,Unknown,2610.26,0.24,Low
19,1,90.123,100.067,318.524,0.0,10.792,0.848,10.066,43.154,420.462,0.0,56.238,23.15,471.139,498.8,294.36,0.0,58.045,30.383,75.782,46.67,296.445,0.0,57.214,86.326,2020-11-02,645.54,Unknown,2610.26,0.25,Low
20,1,100.067,106.192,318.908,0.0,6.972,0.848,43.154,56.831,315.483,0.0,38.425,24.749,498.8,481.797,297.635,0.0,59.155,76.158,46.67,11.339,304.616,0.0,55.311,90.641,2020-11-09,599.33,Unknown,2610.26,0.23,Low
21,1,106.192,99.828,312.464,0.0,6.879,13.242,56.831,28.102,282.401,0.0,50.516,79.244,481.797,492.681,298.256,0.0,122.407,111.523,11.339,0.0,325.113,0.0,35.581,46.921,2020-11-16,592.51,Unknown,2610.26,0.23,Low
22,1,99.828,123.24,323.849,0.0,24.26,0.848,28.102,141.768,346.918,0.0,138.415,24.749,492.681,559.505,298.917,0.0,129.912,63.088,0.0,0.0,418.634,0.0,35.731,35.731,2020-11-23,682.74,Unknown,2610.26,0.26,Low
23,1,123.24,130.545,267.151,0.0,8.153,0.848,141.768,99.808,208.665,0.0,37.672,79.632,559.505,536.975,257.09,0.0,100.707,123.237,0.0,0.0,312.421,0.0,29.364,29.364,2020-11-30,667.52,Unknown,2610.26,0.26,Low
24,1,130.545,144.122,298.493,0.0,14.425,0.848,99.808,100.773,253.091,0.0,80.533,79.568,536.975,574.939,292.232,0.0,123.902,85.937,0.0,4.505,377.859,0.0,40.753,36.248,2020-12-07,723.57,Unknown,2610.26,0.28,Low
25,1,144.122,153.171,269.295,0.0,9.897,0.848,100.773,78.509,244.038,0.0,57.089,79.353,574.939,593.638,273.937,0.0,118.553,99.854,4.505,20.081,352.887,0.0,53.109,37.533,2020-12-14,766.89,Unknown,2610.26,0.29,Low
26,1,153.171,162.296,288.773,0.0,9.972,0.848,78.509,96.617,286.595,0.0,89.525,71.417,593.638,678.665,295.557,0.0,139.33,54.303,20.081,49.6,403.876,0.0,39.576,10.057,2020-12-21,890.56,Unknown,2610.26,0.34,Low
27,1,162.296,174.124,266.69,0.0,12.676,0.848,96.617,128.896,261.85,0.0,96.554,64.276,678.665,820.971,276.175,0.0,157.511,15.205,49.6,97.67,354.621,0.0,58.127,10.057,2020-12-28,1092.76,Unknown,2610.26,0.42,Medium
28,1,174.124,176.91,262.252,0.0,6.715,3.929,128.896,114.224,249.946,0.0,65.032,79.704,820.971,838.178,266.795,0.0,125.839,108.633,97.67,98.43,349.621,0.0,30.257,29.497,2021-01-04,1113.52,Unknown,2610.26,0.43,Medium
29,1,176.91,160.543,285.939,0.0,6.489,22.857,114.224,108.232,290.742,0.0,73.714,79.707,838.178,858.805,294.679,0.0,141.914,121.286,98.43,115.275,411.393,0.0,47.067,30.222,2021-01-11,1134.62,Unknown,2610.26,0.43,Medium
30,1,160.543,145.932,295.428,0.0,6.157,20.767,108.232,91.381,302.535,0.0,54.886,71.736,858.805,841.126,294.529,0.0,114.658,132.338,115.275,141.842,411.36,0.0,49.69,23.123,2021-01-18,1128.9,Unknown,2610.26,0.43,Medium
31,1,145.932,143.242,303.211,0.0,13.166,15.856,91.381,227.875,329.47,0.0,160.269,23.776,841.126,925.218,298.823,0.0,151.226,67.134,141.842,122.511,388.999,0.0,35.116,54.448,2021-01-25,1190.97,Unknown,2610.26,0.46,Medium
32,1,143.242,149.787,283.694,0.0,7.393,0.848,227.875,241.04,227.395,0.0,93.82,80.656,925.218,1072.133,274.307,0.0,219.586,72.671,122.511,132.698,333.201,0.0,59.041,48.854,2021-02-01,1354.62,Unknown,2610.26,0.52,Medium
33,1,149.787,154.553,268.784,0.0,5.613,0.848,241.04,216.323,204.804,0.0,56.294,81.01,1072.133,1102.308,246.357,0.0,120.423,90.248,132.698,121.21,287.603,0.0,41.281,52.769,2021-02-08,1378.07,Unknown,2610.26,0.53,Medium
